method,threshold,precision_mean,precision_std,recall_mean,recall_std,n_datasets
v1,28.0,0.9976744186046511,0.007354134093414846,0.04354140832337112,0.00471476503670702,10
v1,29.0,1.0,0.0,0.038204628746341604,0.0045454293416854735,10
v1,30.0,1.0,0.0,0.034331762047064916,0.004638058049744194,10
v1,31.0,1.0,0.0,0.031080463066515455,0.004385865679355292,10
v1,32.0,1.0,0.0,0.026259578862236184,0.001811897519040743,10
v1,33.0,1.0,0.0,0.0236400386503814,0.001674496367160113,10
v1,34.0,1.0,0.0,0.021537150470662153,0.0027018983474634,10
v1,35.0,1.0,0.0,0.01966343785328969,0.0022882014430923954,10
v1,36.0,1.0,0.0,0.017682869270453518,0.0024961238676789524,10
v1,37.0,1.0,0.0,0.01674611199972662,0.0025987952131404216,10
v1,38.0,1.0,0.0,0.014121461127776219,0.0016858438170765796,10
v1,39.0,1.0,0.0,0.012024970239714496,0.0025940605668998513,10
v1,40.0,1.0,0.0,0.010668813070000678,0.0028017730318015037,10
v2,0.0,0.2903718824714684,0.0055542616257033064,0.9163704251642697,0.006251185890062956,10
v2,1.0,0.31860355602036855,0.00746381394405344,0.8964431283895221,0.0091282594883846,10
v2,2.0,0.3519170315239263,0.008449123224539522,0.8693549421013694,0.006964934516361715,10
v2,3.0,0.38622210540974,0.009887122195669805,0.839327854081714,0.0066956470465494074,10
v2,4.0,0.4210951971167634,0.013345114343759554,0.8124442596652154,0.0094063569996061,10
v2,5.0,0.45467222014538267,0.013693378254140413,0.78299142250616,0.010164425746657279,10
v2,6.0,0.490145240579806,0.015683351311952323,0.7561993615459037,0.011339507751073494,10
v2,7.0,0.5223875684666561,0.017856569204011803,0.7276401662927338,0.012232003327906275,10
v2,8.0,0.5543631594952197,0.01960476868868347,0.6999596451186162,0.012950015865789408,10
v2,9.0,0.5888264954725353,0.019424881499177538,0.6802277169155081,0.011737563964017102,10
v2,10.0,0.6189903570414224,0.017770356494478463,0.6588492043576301,0.012920234800989618,10
v2,11.0,0.6489473531676432,0.018965341017898017,0.6374737775190532,0.011399212197981744,10
v2,12.0,0.6777109703550203,0.02079661448559696,0.6174363199479448,0.013741591265758687,10
v2,13.0,0.7036285081177955,0.018240460465605807,0.5989358396159172,0.014502796535667632,10
v2,14.0,0.7306013423222809,0.018513518235506503,0.5823219679817012,0.016602454929220363,10
v2,15.0,0.750891691110632,0.01913809922347168,0.5671734827854902,0.018113298000466512,10
v2,16.0,0.7713287569287001,0.019567807496201798,0.5520071155403756,0.018456869162242578,10
v2,17.0,0.7932192829677002,0.020587367585656647,0.5369691795284435,0.02051691744372664,10
v2,18.0,0.8112463866122338,0.019148005508144356,0.5238821698394285,0.02090882980500929,10
v2,19.0,0.8273169935181969,0.021355659899671753,0.5104125076895272,0.022090437086251323,10
v2,20.0,0.8415398860296597,0.020611185992937976,0.4981659159564953,0.02107234550038328,10
v2,21.0,0.8573981848369003,0.021171719274333596,0.4880957067788351,0.021215204718334033,10
v2,22.0,0.8729692808475015,0.0208626617117808,0.48014643258168654,0.02132669040306747,10
v2,23.0,0.8877869800437628,0.020364593321213105,0.4714470268802461,0.0208802391968528,10
v2,24.0,0.8987861282136047,0.017829450737442354,0.4622382015415324,0.020702241822409137,10
v2,25.0,0.9085476321717767,0.018395002965526756,0.4516524627653327,0.021735802648012798,10
v2,26.0,0.9178721176137469,0.019402699690971914,0.44201940280393515,0.02104448784001474,10
v2,27.0,0.9257761442566327,0.02043520195121647,0.4323912112363999,0.019572636036335633,10
v2,28.0,0.9324897778482022,0.019466854577578917,0.42310648944039403,0.020343533468094404,10
v2,29.0,0.9371295612833999,0.019363522306312757,0.4139185434117952,0.02034938117872996,10
v2,30.0,0.9426721637961754,0.018621206560618414,0.4068942992602901,0.019336702768926316,10
v2,31.0,0.949306277402164,0.018318955255414167,0.40142827658764124,0.017965886088384092,10
v2,32.0,0.9530245001200124,0.018797587328195513,0.3940022232777679,0.01619554038416416,10
v2,33.0,0.958257480715192,0.016040039843985505,0.3878375830463852,0.017004790014592343,10
v2,34.0,0.9618135408832235,0.013852670103246228,0.3811450024140073,0.016793803185039785,10
v2,35.0,0.9654378993777291,0.01142200715519981,0.3734824371998515,0.017850663136623934,10
v2,36.0,0.9671629721311769,0.010486870465078502,0.3663811131535498,0.017181392629286724,10
v2,37.0,0.9689995095859464,0.009878069014283376,0.3593683871952949,0.015134709005245129,10
v2,38.0,0.9740781062562938,0.007981011204806281,0.3527944265042106,0.015152120775671993,10
v2,39.0,0.977360988992346,0.007917867892808666,0.3463159680957058,0.0157535878595808,10
v2,40.0,0.9796188929282528,0.008013154174561912,0.3402549440320634,0.01597400315547713,10
